timestamp,FIT 101,LIT 101,MV 101,P101 Status,P102 Status,P1_STATE
2019-07-20 04:35:00.004013+00:00,0.0,589.9297,1.0,2.0,1.0,3
2019-07-20 04:35:01.002014100+00:00,0.0,589.419434,1.0,2.0,1.0,3
2019-07-20 04:35:02.004013+00:00,0.0,589.1839,1.0,2.0,1.0,3
2019-07-20 04:35:03.004013+00:00,0.0,589.1839,1.0,2.0,1.0,3
2019-07-20 04:35:04.004013+00:00,0.0,588.948364,1.0,2.0,1.0,3
2019-07-20 04:35:05.002014100+00:00,0.0,588.948364,1.0,2.0,1.0,3
2019-07-20 04:35:06.002014100+00:00,0.0,588.1633,1.0,2.0,1.0,3
2019-07-20 04:35:07+00:00,0.0,587.653,1.0,2.0,1.0,3
2019-07-20 04:35:08+00:00,0.0,587.2605,1.0,2.0,1.0,3
2019-07-20 04:35:09.004013+00:00,0.0,586.5932,1.0,2.0,1.0,3
2019-07-20 04:35:10+00:00,0.0,586.2399,1.0,2.0,1.0,3
2019-07-20 04:35:11.002014100+00:00,0.0,585.6511,1.0,2.0,1.0,3
2019-07-20 04:35:12.004013+00:00,0.0,584.8661,1.0,2.0,1.0,3
2019-07-20 04:35:13.002014100+00:00,0.0,584.5128,1.0,2.0,1.0,3
2019-07-20 04:35:14.004013+00:00,0.0,583.924,1.0,2.0,1.0,3
2019-07-20 04:35:15.002014100+00:00,0.0,583.57074,1.0,2.0,1.0,3
2019-07-20 04:35:16.004013+00:00,0.0,583.453,1.0,2.0,1.0,3
2019-07-20 04:35:17.004013+00:00,0.0,582.8642,1.0,2.0,1.0,3
2019-07-20 04:35:18.004013+00:00,0.0,582.4717,1.0,2.0,1.0,3
2019-07-20 04:35:19.002014100+00:00,0.0,582.1969,1.0,2.0,1.0,3
2019-07-20 04:35:20.004013+00:00,0.0,581.490356,1.0,2.0,1.0,3
2019-07-20 04:35:21.002014100+00:00,0.0,581.411865,1.0,2.0,1.0,3
2019-07-20 04:35:22.002014100+00:00,0.0,581.1371,1.0,2.0,1.0,3
2019-07-20 04:35:23.004013+00:00,0.0,580.430542,1.0,2.0,1.0,3
2019-07-20 04:35:24.002014100+00:00,0.0,580.430542,1.0,2.0,1.0,3
2019-07-20 04:35:25.004013+00:00,0.0,580.1165,1.0,2.0,1.0,3
2019-07-20 04:35:26.002014100+00:00,0.0,579.9988,1.0,2.0,1.0,3
2019-07-20 04:35:27.002014100+00:00,0.0,579.6062,1.0,2.0,1.0,3
2019-07-20 04:35:28.002014100+00:00,0.0,578.8604,1.0,2.0,1.0,3
2019-07-20 04:35:29.004013+00:00,0.0,578.1539,1.0,2.0,1.0,3
2019-07-20 04:35:30+00:00,0.0,577.6436,1.0,2.0,1.0,3
2019-07-20 04:35:31.004013+00:00,0.0,577.094055,1.0,2.0,1.0,3
2019-07-20 04:35:32+00:00,0.0,576.3875,1.0,2.0,1.0,3
2019-07-20 04:35:33.002014100+00:00,0.0,575.6417,1.0,2.0,1.0,3
2019-07-20 04:35:34.004013+00:00,0.0,575.680969,1.0,2.0,1.0,3
2019-07-20 04:35:35+00:00,0.0,574.699646,1.0,2.0,1.0,3
2019-07-20 04:35:36.004013+00:00,0.0,574.3464,1.0,2.0,1.0,3
2019-07-20 04:35:37.004013+00:00,0.0,573.953857,1.0,2.0,1.0,3
2019-07-20 04:35:38.002014100+00:00,0.0,573.757568,1.0,2.0,1.0,3
2019-07-20 04:35:39.004013+00:00,0.0,573.4828,1.0,2.0,1.0,3
2019-07-20 04:35:40.004013+00:00,0.0,573.247253,1.0,2.0,1.0,3
2019-07-20 04:35:41.004013+00:00,0.0,572.894,1.0,2.0,1.0,3
2019-07-20 04:35:42.004013+00:00,0.0,572.854736,1.0,2.0,1.0,3
